#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A36C31
#Date Time: 2024-12-14 01:28:08.904
#Sample rate: 5e+07Hz
#Samples: 16384

Time (s),clk,ser3,ser1,ser2,rclk,srclk
-7.172e-05,0,0,0,0,0,0
-7.169999999999999e-05,0,0,0,0,0,0
-7.168e-05,0,0,0,0,0,0
-7.166e-05,0,0,0,0,0,0
-7.164e-05,0,0,0,0,0,0
-7.162e-05,0,0,0,0,0,0
-7.160000000000001e-05,0,0,0,0,0,0
-7.158e-05,0,0,0,0,0,0
-7.156e-05,0,0,0,0,0,0
-7.154e-05,0,0,0,0,0,0
-7.152000000000001e-05,0,0,0,0,0,0
-7.15e-05,0,0,0,0,0,0
-7.148e-05,0,0,0,0,0,0
-7.146e-05,0,0,0,0,0,0
-7.143999999999999e-05,0,0,0,0,0,0
-7.142e-05,0,0,0,0,0,0
-7.14e-05,0,0,0,0,0,0
-7.138e-05,0,0,0,0,0,0
-7.135999999999999e-05,0,0,0,0,0,0
-7.134e-05,0,0,0,0,0,0
-7.132e-05,0,0,0,0,0,0
-7.13e-05,0,0,0,0,0,0
